FID,Station_name,CITY,STATE
1,HIRAM POLICE DEPARTMENT,HIRAM,GA
2,GLENNVILLE POLICE DEPARTMENT,GLENNVILLE,GA
3,SIMMESPORT POLICE DEPARTMENT,SIMMESPORT,LA
4,DUBBERLY POLICE DEPARTMENT,DUBBERLY,LA
5,SEBEWAING POLICE DEPARTMENT,SEBEWAING,MI
6,MICHIGAN SENATE POLICE DEPARTMENT,LANSING,MI
7,FOWLERVILLE POLICE DEPARTMENT,FOWLERVILLE,MI
8,IONIA DEPARTMENT OF PUBLIC SAFETY,IONIA,MI
9,OLIVE HILL POLICE DEPARTMENT,OLIVE HILL,KY
10,BRIDGEPORT TOWNSHIP POLICE DEPARTMENT,BRIDGEPORT,MI
11,CALUMET POLICE DEPARTMENT,CALUMET,MI
12,VANCEBURG POLICE DEPARTMENT,VANCEBURG,KY
13,TAWAS POLICE AUTHORITY,EAST TAWAS,MI
14,CRITTENDEN COUNTY SHERIFFS OFFICE,MARION,KY
15,GRAND RAPIDS POLICE DEPARTMENT,GRAND RAPIDS,MI
16,HOWELL POLICE DEPARTMENT,HOWELL,MI
17,UTICA POLICE DEPARTMENT,UTICA,IN
18,SOUTH ROCKWOOD POLICE DEPARTMENT,SOUTH ROCKWOOD,MI
19,KENTON COUNTY POLICE DEPARTMENT,INDEPENDENCE,KY
20,NEW CARROLLTON CITY POLICE DEPARTMENT,NEW CARROLLTON,MD
21,PARK HILLS POLICE DEPARTMENT,COVINGTON,KY
22,BOWIE POLICE DEPARTMENT,BOWIE,MD
23,RICHMOND POLICE DEPARTMENT,RICHMOND,MI
24,OWINGSVILLE POLICE DEPARTMENT,OWINGSVILLE,KY
25,SNOW HILL POLICE DEPARTMENT,SNOWHILL,MD
26,GREENSBURG POLICE DEPARTMENT,GREENSBURG,KY
27,CITY OF FULTON POLICE DEPARTMENT,FULTON,KY
28,KOKOMO POLICE DEPARTMENT,KOKOMO,IN
29,MADISON COUNTY SHERIFFS DEPARTMENT ,ANDERSON,IN
30,BREWER POLICE DEPARTMENT,BREWER,ME
31,LATHRUP VILLAGE POLICE DEPARTMENT,LATHRUP VILLAGE,MI
32,ANDERSON POLICE DEPARTMENT,ANDERSON,IN
33,JACKSON COUNTY SHERIFFS OFFICE,HOLTON,KS
34,SWANS ISLAND POLICE DEPARTMENT,SWAN'S ISLAND,ME
35,LINCOLN COUNTY SHERIFFS DEPARTMENT,WISCASSET,ME
36,BAR HARBOR POLICE DEPARTMENT,BAR HARBOR,ME
37,WIXOM POLICE DEPARTMENT,WIXOM,MI
38,SOUTH LYON POLICE DEPARTMENT,SOUTH LYON,MI
39,CARIBOU POLICE DEPARTMENT,CARIBOU,ME
40,MOUNT VERNON POLICE DEPARTMENT,MOUNT VERNON,KY
41,CARSON CITY POLICE DEPARTMENT,CARSON CITY,MI
42,GREENVILLE DEPARTMENT OF PUBLIC SAFETY,GREENVILLE,MI
43,WESTBROOK POLICE DEPARTMENT,WESTBROOK,ME
44,CAPE ELIZABETH POLICE DEPARTMENT,CAPE ELIZABETH,ME
45,ELKTON POLICE DEPARTMENT,ELKTON,KY
46,LAKE LINDEN POLICE DEPARTMENT,LAKE LINDEN,MI
47,HARDIN COUNTY SHERIFFS DEPARTMENT,ELIZABETHTOWN,KY
48,WATSONVILLE POLICE DEPARTMENT,WATSONVILLE,CA
49,MANTECA POLICE DEPARTMENT,MANTECA,CA
50,FORT BRAGG POLICE DEPARTMENT,FORT BRAGG,CA
51,BREMER COUNTY SHERIFFS OFFICE ,WAVERLY,IA
52,CHARLES CITY POLICE DEPARTMENT,CHARLES CITY,IA
53,SUTHERLAND POLICE DEPARTMENT,SUTHERLAND,IA
54,POMEROY POLICE DEPARTMENT,POMEROY,IA
55,SCOTT COUNTY SHERIFFS OFFICE ,DAVENPORT,IA
56,OTTUMWA POLICE DEPARTMENT,OTTUMWA,IA
57,PANORA POLICE DEPARTMENT,PANORA,IA
58,OSCEOLA POLICE DEPARTMENT,OSCEOLA,IA
59,PRESTON POLICE DEPARTMENT,PRESTON,IA
60,DE WITT POLICE DEPARTMENT,DE WITT,IA
61,DUBUQUE POLICE DEPARTMENT,DUBUQUE,IA
62,BELLEVUE POLICE DEPARTMENT,BELLEVUE,IA
63,MOUNT PLEASANT POLICE DEPARTMENT,MOUNT PLEASANT,IA
64,LINN COUNTY SHERIFFS DEPARTMENT,CEDAR RAPIDS,IA
65,TAMA POLICE DEPARTMENT,TAMA,IA
66,BEDFORD CITY POLICE DEPARTMENT,BEDFORD,IA
67,DAYTON POLICE DEPARTMENT,DAYTON,IA
68,CLIVE POLICE DEPARTMENT,CLIVE,IA
69,COLUMBUS JUNCTION POLICE DEPARTMENT,COLUMBUS JUNCTION,IA
70,MUSCATINE POLICE DEPARTMENT,MUSCATINE,IA
71,BELMOND POLICE DEPARTMENT,BELMOND,IA
72,LE CLAIRE POLICE DEPARTMENT,LE CLAIRE,IA
73,MANLY POLICE DEPARTMENT,MANLY,IA
74,COUNCIL BLUFFS POLICE DEPARTMENT,COUNCIL BLUFFS,IA
75,GROTON LONG POINT POLICE DEPARTMENT,GROTON,CT
76,SUNNY ISLES BEACH POLICE DEPARTMENT,SUNNY ISLES BEACH,FL
77,GILCREST POLICE DEPARTMENT,GILCREST,CO
78,ASSUMPTION PARISH SHERIFFS DEPARTMENT,NAPOLEONVILLE,LA
79,LOUISIANA STATE POLICE,BATON ROUGE,LA
80,CHINO POLICE DEPARTMENT,CHINO,CA
81,OCEANSIDE POLICE DEPARTMENT,OCEANSIDE,CA
82,STALLION SPRINGS POLICE DEPARTMENT,TEHACHAPI,CA
83,BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD,CA
84,BERKELEY POLICE DEPARTMENT,BERKELEY,CA
85,COLMA POLICE DEPARTMENT,COLMA,CA
86,MADERA POLICE DEPARTMENT,MADERA,CA
87,HARLAN POLICE DEPARTMENT,HARLAN,IA
88,OSKALOOSA POLICE DEPARTMENT,OSKALOOSA,IA
89,WINDSOR HEIGHTS POLICE DEPARTMENT,WINDSOR HEIGHTS,IA
90,ODEBOLT POLICE DEPARTMENT,ODEBOLT,IA
91,DAVENPORT CITY POLICE DEPARTMENT,DAVENPORT,IA
92,AMES POLICE DEPARTMENT,AMES,IA
93,FOREST CITY POLICE DEPARTMENT,FOREST CITY,IA
94,OKOBOJI POLICE DEPARTMENT,OKOBOJI,IA
95,PRAIRIE CITY POLICE DEPARTMENT,PRAIRIE CITY,IA
96,GUTTENBERG POLICE DEPARTMENT,GUTTENBERG,IA
97,IOWA DEPARTMENT OF PUBLIC SAFETY,DES MOINES,IA
98,TOLUCA POLICE DEPARTMENT,TOLUCA,IL
99,EFFINGHAM WATER AUTHORITY POLICE DEPARTMENT,EFFINGHAM,IL
100,RAWLINS COUNTY SHERIFFS OFFICE ,ATWOOD,KS
101,WAMEGO POLICE DEPARTMENT,WAMEGO,KS
102,DYER POLICE DEPARTMENT,DYER,IN
103,CROWN POINT POLICE DEPARTMENT,CROWN POINT,IN
104,EMMETT POLICE DEPARTMENT,EMMETT,ID
