ID,Age,Gender,Race,City,State,Latitude,Longitude,Cause_of_Death,Mental_Illness,Year
18697,22,Male,European-American/White,Chatham,MA,41.6893889,-69.9659954,Vehicle,Drug or alcohol use,2015
18698,18,Male,Hispanic/Latino,Key Largo,FL,25.1561037,-80.3902679,Tasered,Drug or alcohol use,2015
18699,22,Male,African-American/Black,Savannah,GA,32.066691,-81.167881,Beaten/Bludgeoned with instrument,No,2015
18700,53,Male,Asian/Pacific Islander,Shelton,WA,47.2465339,-123.119497,Gunshot,Yes,2015
18701,47,Male,European-American/White,Aloha,OR,45.4873752,-122.8914221,Gunshot,Drug or alcohol use,2015
18702,53,Male,European-American/White,New Castle,PA,40.9971229,-80.337265,Vehicle,No,2015
18703,19,Male,European-American/White,Kaumakani,HI,21.934926,-159.6439954,Vehicle,No,2015
18704,23,Male,Hispanic/Latino,Wichita,KS,37.6937969,-97.2805489,Gunshot,No,2015
18705,24,Male,African-American/Black,Charlotte,NC,35.2765803,-80.794763,Gunshot,No,2015
18706,18,Male,European-American/White,Guthrie,OK,35.8769929,-97.422764,Gunshot,No,2015
18707,32,Male,European-American/White,San Francisco,CA,37.763304,-122.4217566,Gunshot,Unknown,2015
18708,39,Male,Hispanic/Latino,Evans,CO,40.3840945,-104.6921746,Gunshot,No,2015
18709,22,Male,Native American/Alaskan,Chandler,AZ,33.3279337,-111.8329285,Gunshot,No,2015
18710,47,Male,African-American/Black,Knoxville,PA,40.4132265,-79.9911548,Gunshot,No,2015
18711,26,Male,African-American/Black,Los Angeles,CA,33.9208908,-118.2462156,Tasered,Drug or alcohol use,2015
18712,25,Male,European-American/White,Stockton,CA,37.929792,-121.2981387,Gunshot,Drug or alcohol use,2015
18713,35,Male,European-American/White,Assaria,KS,38.7112198,-97.5680419,Gunshot,Drug or alcohol use,2015
18714,34,Female,Native American/Alaskan,Burlington,IA,40.810027,-91.118587,Gunshot,No,2015
18715,37,Male,African-American/Black,New Orleans,LA,29.9374752,-90.0904992,Gunshot,No,2015
18716,41,Male,African-American/Black,Columbus,OH,39.9980574,-82.8838088,Gunshot,Unknown,2015
18717,31,Male,African-American/Black,Freeport,TX,28.9553131,-95.3684656,Gunshot,No,2015
18718,42,Male,African-American/Black,Norfolk,NE,42.0168386,-97.4236949,Tasered,Unknown,2015
18719,41,Male,European-American/White,Orange,TX,30.1004371,-93.7665686,Drug overdose,Drug or alcohol use,2015
18720,30,Male,European-American/White,Des Moines,IA,41.5810414,-93.6096201,Gunshot,No,2015
18721,31,Male,European-American/White,Rosemont,IL,41.9896575,-87.8758712,Gunshot,Unknown,2015
18722,36,Male,African-American/Black,Strong,AR,33.1112832,-92.3590764,Gunshot,No,2015
18723,42,Male,European-American/White,Salt Lake City,UT,40.7716992,-111.8714946,Gunshot,Unknown,2015
18724,49,Male,European-American/White,Syracuse,UT,41.083125,-112.083141,Gunshot,Yes,2015
18725,28,Male,European-American/White,Huntley,MT,45.8547582,-108.3146107,Gunshot,No,2015
18726,47,Male,European-American/White,Little Elm,TX,33.1656864,-96.9372813,Gunshot,Yes,2015
18727,71,Male,European-American/White,England,AR,34.542133,-91.965851,Gunshot,No,2015
18728,33,Male,Hispanic/Latino,El Paso,TX,31.8576785,-106.439739,Gunshot,No,2015
18729,56,Male,European-American/White,Jeffersonville,IN,38.326532,-85.7515874,Asphyxiated/Restrained,No,2015
18730,31,Male,African-American/Black,Pascagoula,MS,30.3617896,-88.5145135,Burned/Smoke inhalation,Unknown,2015
18731,39,Male,European-American/White,Arcola,IL,39.6919192,-88.3027459,Gunshot,No,2015
18732,26,Male,European-American/White,Atwater,CA,37.3501163,-120.5796933,Gunshot,Yes,2015
18733,29,Male,Hispanic/Latino,Las Vegas,NV,36.1848492,-115.1161587,Gunshot,No,2015
18734,23,Male,Hispanic/Latino,South Gate,CA,33.9524541,-118.1889799,Gunshot,No,2015
18735,35,Male,European-American/White,Albuquerque,NM,35.099199,-106.585967,Gunshot,No,2015
18736,43,Male,European-American/White,Jourdanton,TX,28.9115688,-98.5430876,Gunshot,Yes,2015
18737,34,Male,African-American/Black,Chesapeake,VA,36.7820284,-76.3479715,Gunshot,Yes,2015
18738,24,Male,African-American/Black,St. Paul,MN,44.957908,-93.0941173,Gunshot,Unknown,2015
18739,68,Male,European-American/White,Lake Jackson,TX,29.034467,-95.4283562,Gunshot,Unknown,2015
18740,29,Male,European-American/White,Robertsville,MO,38.3187552,-90.7943153,Gunshot,No,2015
18741,87,Male,European-American/White,Catskill,NY,42.262431,-73.9357393,Vehicle,No,2015
18742,75,Male,European-American/White,Old Bridge,NJ,40.405239,-74.301112,Gunshot,Unknown,2015
18743,34,Male,European-American/White,Draper,UT,40.5398401,-111.8873576,Gunshot,No,2015
18744,39,Male,African-American/Black,Aurora,CO,39.7255142,-104.7725198,Gunshot,No,2015
18745,27,Male,African-American/Black,Indianapolis,IN,39.826282,-85.991069,Gunshot,No,2015
