,State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type,federal_supply_class,year
112711,TN,23RD JUDICIAL DISTRICT DTF,1240-01-533-0941,"SIGHT,REFLEX",16,Each,400.0,D,0.0,2019-02-11 00:00:00.000,State,1240,2019
112712,TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,831.0,A,,2019-04-24 00:00:00.000,State,7021,2019
112714,TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,831.0,A,,2019-04-24 00:00:00.000,State,7021,2019
112719,TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,814.0,A,,2019-04-24 00:00:00.000,State,7021,2019
112720,TN,24TH JUDICIAL DISTRICT DTF,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,658000.0,C,1.0,2016-05-16 00:00:00.000,State,2355,2016
112721,TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,1665.0,D,,2015-12-23 00:00:00.000,State,5855,2015
112723,TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-506-7576,HEADSET-MICROPHONE,8,Each,699.26,Q,3.0,2015-12-30 00:00:00.000,State,5965,2015
112724,TN,ADAMSVILLE POLICE DEPARTMENT,2540-01-530-7453,"ARMOR SET,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",2,Each,875.0,D,1.0,2015-12-17 00:00:00.000,State,2540,2015
112725,TN,ADAMSVILLE POLICE DEPARTMENT,1240-01-607-1350,"SIGHT,REFLEX",4,Each,2120.0,D,1.0,2016-06-03 00:00:00.000,State,1240,2016
112726,TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-522-5347,"HELMET,FLYER'S",4,Each,1466.24,D,7.0,2016-01-17 00:00:00.000,State,8415,2016
112727,TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",15,Each,13.56,D,1.0,2016-01-04 00:00:00.000,State,1005,2016
